epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,4473.08,1.72453,0.82592,1.07593,0.76816,0.69777,0.70304,0.36461,1.81447,0.71642,1.01431,0.00034165,0.00034165,0.00034165
135,4504.69,1.72266,0.82581,1.0748,0.76062,0.72036,0.71693,0.41584,1.81503,0.71978,1.01526,0.0003367,0.0003367,0.0003367
136,4536.28,1.71175,0.82338,1.07119,0.77293,0.72612,0.62146,0.3411,1.81743,0.72658,1.01523,0.00033175,0.00033175,0.00033175
137,4569.52,1.72295,0.81856,1.07592,0.76022,0.72115,0.58176,0.30589,1.82272,0.72863,1.01661,0.0003268,0.0003268,0.0003268
138,4601.83,1.709,0.82099,1.07082,0.70554,0.69714,0.6094,0.33359,1.80914,0.71939,1.01289,0.00032185,0.00032185,0.00032185
139,4634.1,1.72353,0.83545,1.07525,0.67689,0.73164,0.53025,0.28255,1.81642,0.72438,1.01603,0.0003169,0.0003169,0.0003169
140,4666.12,1.71027,0.81577,1.07304,0.64296,0.62487,0.50676,0.2881,1.81353,0.72172,1.01351,0.00031195,0.00031195,0.00031195
141,4700.77,1.68937,0.8133,1.07968,0.68281,0.7279,0.60668,0.35319,1.80369,0.72055,1.01256,0.000307,0.000307,0.000307
142,4732.75,1.70888,0.8174,1.06886,0.74802,0.72011,0.67483,0.42761,1.81884,0.72015,1.01513,0.00030205,0.00030205,0.00030205
143,4765.51,1.72021,0.81008,1.06492,0.81686,0.66626,0.64734,0.38836,1.80965,0.72887,1.01445,0.0002971,0.0002971,0.0002971
144,4798.28,1.6946,0.80884,1.06925,0.71136,0.72588,0.52662,0.28263,1.81075,0.72169,1.01367,0.00029215,0.00029215,0.00029215
145,4830.12,1.71015,0.80551,1.07121,0.92568,0.4431,0.49474,0.26507,1.80456,0.71358,1.01364,0.0002872,0.0002872,0.0002872
146,4862.79,1.69131,0.80561,1.06089,0.65537,0.57634,0.51522,0.28388,1.80381,0.7179,1.0126,0.00028225,0.00028225,0.00028225
147,4896.34,1.69949,0.81402,1.07021,0.76324,0.72328,0.57506,0.33229,1.80064,0.71601,1.01066,0.0002773,0.0002773,0.0002773
148,4930.5,1.70589,0.79997,1.07183,0.69541,0.73139,0.51296,0.28336,1.79682,0.71232,1.00937,0.00027235,0.00027235,0.00027235
149,4962.87,1.68865,0.80458,1.06374,0.72486,0.69928,0.57494,0.34658,1.80205,0.70741,1.01152,0.0002674,0.0002674,0.0002674
150,4995.43,1.71156,0.81138,1.07321,0.72248,0.73156,0.57604,0.3287,1.80253,0.71274,1.01176,0.00026245,0.00026245,0.00026245
151,5027.29,1.69074,0.81138,1.06714,0.93997,0.45308,0.4833,0.26761,1.79838,0.71167,1.01137,0.0002575,0.0002575,0.0002575
152,5059.78,1.68007,0.79951,1.06504,0.92359,0.45998,0.45773,0.24512,1.80207,0.71073,1.01194,0.00025255,0.00025255,0.00025255
153,5093.81,1.69492,0.80678,1.06293,0.92969,0.46567,0.53471,0.28878,1.78699,0.70623,1.00703,0.0002476,0.0002476,0.0002476
154,5125.98,1.67593,0.79568,1.05881,0.73474,0.73181,0.58183,0.31796,1.79141,0.71342,1.00825,0.00024265,0.00024265,0.00024265
155,5161.9,1.68662,0.81373,1.0708,0.69739,0.73181,0.52659,0.2904,1.79093,0.70805,1.00832,0.0002377,0.0002377,0.0002377
156,5194.25,1.67501,0.79218,1.07221,0.66451,0.73205,0.53906,0.29626,1.78804,0.70564,1.00822,0.00023275,0.00023275,0.00023275
157,5226.3,1.67539,0.78163,1.06554,0.73269,0.69008,0.55882,0.31015,1.7868,0.7088,1.00856,0.0002278,0.0002278,0.0002278
158,5258.44,1.66861,0.80724,1.0673,0.74097,0.72621,0.70279,0.35194,1.78849,0.70684,1.00775,0.00022285,0.00022285,0.00022285
159,5291.1,1.67907,0.79247,1.05911,0.69559,0.69344,0.52522,0.29975,1.7844,0.71207,1.00873,0.0002179,0.0002179,0.0002179
160,5322.97,1.67984,0.81165,1.07513,0.87013,0.47654,0.59506,0.34807,1.7822,0.70315,1.00692,0.00021295,0.00021295,0.00021295
